accident_id,date,time,am_pm,location,description,autonomous_mode,vehicle_1_make,vehicle_1_model,vehicle_1_year,vehicle_1_moving,vehicle_2_make,vehicle_2_model,vehicle_2_year,vehicle_2_moving,weather_conditions,road_conditions,lighting_conditions,roadway_surface,associated_factors,impact_points,vehicle_damage,Ground_Truth
0,1/14/2020,11:13,AM,"Santa Clara, Santa Clara","On 01/14/2020 at 11:13 AM, the Aurora vehicle -- while at a complete stop at a red light at the intersection of Lafayette  St and Benton St. in Santa Clara -- was rear-ended on the driver's side rear fender by a Jeep Wrangler, when it attempted to navigate around the stopped Aurora vehicle. There were no injuries to the occupants of either vehicle, nor damage to either vehicle.",No,Lincoln,MKZ,2017,No,,Jeep Wrangler,1995,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2",Not specified,"other_a_no, other_h_no",Not specified,NONE,Not Autonomous Vehicle's fault
1,7/25/2020,4:53,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”) being driven in conventional mode was involved in a single-car collision on westbound Taraval Street near the intersection with 21st Avenue. After completing a right turn onto Taraval from 21st, the driver of the Cruise AV turned into a parallel parking space and made contact with the curb, damaging the Cruise AV’s front right tire. There were no injuries and police were not called.",No,Autonomous,9FM48,2020,Yes,,,,No,weather_a_1,road_conditions_h_1,lighting_a_1,roadway_a_1,Not specified,front_passenger_side_4,MINOR,Not Autonomous Vehicle's fault
2,1/2/2020,8:24,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”) being driven in conventional mode was involved in a collision on eastbound Clement Street between 24th and 25th Avenues. While the Cruise AV was parked parallel to the curb on the street, another vehicle reversing out of its parallel parking spot made contact with the front bumper of the Cruise AV, damaging the Cruise AV’s front center radar bracket assembly. There were no injuries and police were not called.",No,Chevrolet,Bolt,2020,No,,Econoline,1998,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,front_bumper,MINOR,Autonomous Vehicle's fault
3,1/12/2020,12:40,PM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”) being driven in conventional mode was involved in a single-car collision on northbound Clipper Street near the intersection with westbound Portola Drive. While the driver of the Cruise AV began to turn left onto Portola, the driver made contact with the traffic island, damaging the Cruise AV’s front left wheel assembly. There were no injuries and police were not called.",No,Chevrolet,Bolt,2020,Yes,,,,No,weather_a_1,road_conditions_h_1,lighting_a_1,roadway_a_1,Not specified,front_driver_side_3,MINOR,Not Autonomous Vehicle's fault
4,1/25/2020,8:10,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”) being driven in conventional mode was involved in a collision on westbound 24th Street between Douglass Street and Hoffman Avenue. While the driver of the Cruise AV attempted to reverse into a parallel parking spot, the driver made contact with another parked vehicle’s front bumper, damaging the other vehicle’s front center bumper. There were no injuries and police were not called.",No,Chevrolet,Bolt,2020,Yes,,Audi,2007,No,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,Not specified,NONE,Not Autonomous Vehicle's fault
5,1/29/2020,10:10,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling northwest bound on Columbus Street approaching the intersection with Jones Street when the Cruise AV slowed down. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle, changing into the Cruise AV’s lane from the left adjacent lane, made contact with the rear bumper of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. Both of the Cruise AV test operators later mentioned neck and shoulder pain.",Yes,Chevrolet,Bolt,2020,Yes,,Honda,2015,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,Not specified,NONE,Autonomous Vehicle's fault
6,1/31/2020,5:47,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was making a left turn onto eastbound Duboce Avenue from southbound Castro Street when the Cruise AV yielded to an oncoming car. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle made contact with the rear bumper of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. Both of the Cruise AV test operators later mentioned neck and back pain.",Yes,Chevrolet,Bolt,2020,No,,Ford,2008,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,Not specified,NONE,Autonomous Vehicle's fault
7,2/5/2020,8:57,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV"") being driven in conventional mode was involved in a collision on eastbound Bush Street near the intersection with Jones Street. While the driver of the Cruise AV was stopped in traffic, another vehicle made contact with the rear bumper of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. The Cruise AV test operator sitting in the front passenger seat later mentioned neck and back pain.",No,Cheverolet,Bolt,2020,No,,Lexus,2002,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,Not specified,NONE,Not Autonomous Vehicle's fault
8,2/9/2020,9:16,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling southeast bound on Sickles Avenue toward the intersection with Mission Street in the left turn lane; when the Cruise AV yielded to another vehicle that encroached into the Cruise AV’s lane from the right adjacent lane. Shortly thereafter, a second vehicle made contact with the rear bumper of the Cruise AV, damaging the Cruise AV’s rear impact bar and a radar mounting bracket and the other vehicle’s front bumper. There were no injuries and police were not called.",Yes,Chevrolet,Bolt,2020,No,,Lexus,2010,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,rear_bumper,UNK,Autonomous Vehicle's fault
9,8/4/2020,3:53,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”) parked in conventional mode was involved in a collision on southwest bound San Jose Avenue between Farallones and Broad Streets. While the Cruise AV was parked parallel to the curb on the street, another vehicle in front of the Cruise AV made contact with the front bumper of the Cruise AV while reversing out of its parking spot, damaging the Cruise AV’s front right fascia. There were no injuries and police were not called.",No,Autonomous,9FM48,2020,No,,Toyota Tacoma,2017,Yes,"weather_a_1, weather_a_2",Not specified,"lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,right_front_corner_3,MINOR,
10,8/9/2020,3:48,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV), operating in autonomous mode, was yielding to oncoming traffic prior to making a left turn onto eastbound 17th Street from southbound Potrero Avenue when another vehicle made contact with the rear bumper of the Cruise AV, damaging the Cruise AV's right rear bumper bar and fascia. The Cruise AV test operator in the driver's seat reported back pain at the scene but did not request emergency assistance. The Cruise AV test operator sitting in the front passenger seat did not report any injuries at the scene, but later reported neck pain. Police were not called.",Yes,Autonomous,9FM48,2020,No,,Honda Accord,2017,Yes,"weather_a_1, weather_a_2",Not specified,"lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,right_rear_1,MINOR,
11,8/15/2020,10:19,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling westbound on Turk Street through the intersection with Steiner Street when another vehicle encroached into the Cruise AV's lane from the right adjacent lane and made contact with the right side of the Cruise AV, damaging the Cruise AV's right front fender, right front door, and right rear door and the other vehicle's front left bumper and fender. There were no injuries and police were not called.",Yes,Autonomous,9FM48,2020,Yes,,Toyota Corolla,2019,Yes,"weather_a_1, weather_a_2",Not specified,"lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"front_passenger_side_4, right_rear_passenger_4, front_passenger_side_2",UNK,
12,9/16/2020,9:09,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling northwest bound on 9th Street near the intersection with Folsom Street in the right lane when it stopped due to traffic ahead in the intersection. Shortly thereafter, another vehicle made contact with the Cruise AV, damaging the Cruise AV's left rear bumper, wheel well, and tail lamp and the other vehicle's front right bumper, headlight, and fender. The Cruise AV test operator sitting in the front passenger seat reported back pain at the scene, but did not request emergency assistance. Police were not called.",Yes,Autonomous,9FM48,2020,No,,Chevrolet Impala,2010,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"rear_bumper, left_rear_1, left_rear_2",UNK,
13,10/9/2020,1:08,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in conventional mode, was involved in an incident. The Cruise AV was exiting a parking lot and turning right onto southbound Mission Street between France Ave and Italy Ave when it made contact with the left rear bumper of a parked vehicle. This caused damage to the passenger rear quarter panel and passenger rear door of the Cruise AV. There was no damage to the parked vehicle. There were no injuries and the police were not called.",No,Chevrolet,Bolt,2020,Yes,,GMC Truck,,No,"weather_a_1, weather_a_2",Not specified,"lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2","other_a_no, other_h_no","right_rear_3, right_rear_passenger_2",MINOR,
