MANufACTuRERS NAME,BuSINESS NAME,DATE Of ACCIDENT,Time of Accident,PM,VEhICLE YEAR,MAkE,MODEL,STATE VEhICLE IS REGISTERED IN,Stopped in Traffic,NuMBER Of VEhICLES INVOLVED,minor,VEhICLE YEAR_2,MODEL_2,STATE VEhICLE IS REGISTERED IN_2,Moving_2,NuMBER Of VEhICLES INVOLVED_2,STATE_2,Injured,Passenger_2,Autonomous Mode,WEATHER A 1,WEATHER A 2,LIGHTING A 1,LIGHTING A 2,ROADWAY A 1,ROADWAY A 2,MOVEMENT A 1,MOVEMENT  B 2,TYPE A 2,TYPE C 1,PROGRAM DIRECTORAuThORIZED REPRESENTATIVE PRINTED NAME AND TITLE,DATE SIGNED,Left Rear 1,Rear Bumper,source_filename,Moving,undefined,Other,LIGHTING C 1,MOVEMENT  B 1,TYPE H 1,OTHER A NO,OTHER H NO,OTHER J,Right Front Corner 2,Passenger,MOVEMENT  L 2,TYPE A 1,TYPE D 2,Left Front Corner 1,Left Front Corner 3,Front Driver Side 3,Injured_2,Conventional Mode,TYPE D 1,Front Passenger Side 4,Moderate,Driver,LIGHTING C 2,MOVEMENT  E 1,WEATHER C 1,ROADWAY B 1,ROAD CONDITIONS H 1,MOVEMENT  D 1,TYPE E 1,Right Rear 1,MOVEMENT  M 2,TYPE B 1,TYPE B 2,MOVEMENT  R 2,AM,ROAD CONDITIONS H 2,MOVEMENT  D 2,Left Rear 2,Left Front Corner 2,Right Front Corner 1,ROAD CONDITIONS E 2,ROAD CONDITIONS G 2,MOVEMENT  I 2,OTHER E,DRIVERS fuLL NAME First Middle last_2,WEATHER C 2,MOVEMENT  H 1,TYPE C 2,MOVEMENT  E 2,Front Driver Side 1,WEATHER B 1,WEATHER B 2,ROADWAY B 2,LIGHTING B 1,LIGHTING B 2,Right Rear 3,MOVEMENT  G 1,MOVEMENT  O 2,Stopped in Traffic_2,MOVEMENT A 2,Right Front Corner 3,Front Bumper,None,Bicyclist_2,Bicyclist_3,OTHER C,undefined_2,Other_2,TYPE H 2,MOVEMENT  K 2,MOVEMENT J 1,OTHER D
Cruise LLC,Cruise,05/11/2021,03:59,/ ,2020,Chevrolet,Bolt,CA,/ ,2,/Yes,2017,Colorado,CA,/ ,2,CA,/ ,/ ,/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,"Todd J. Brugger, VP Global Markets","May 20, 2021",/Yes,/Yes,Cruise-OL316_051121_.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,01/13/2021,5:32,/ ,2020,Chevrolet,Bolt,CA,,1,/Yes,,,,,,,,/ ,/ ,/Yes,,,,/Yes,,,,,,"Todd Brugger, VP Global Markets",01/21/2021,,,Cruise_011321.pdf,/ ,/ ,Skateboard,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,1/21/2021,2:38,/ ,2020,Chevrolet,Bolt,CA,,2,/Yes,2013,Mazda 5,CA,/ ,,CA,,,/ ,/Yes,/Yes,/Yes,/Yes,,,,,,,"Todd Brugger, VP Global Markets",01/28/2021,,,Cruise_012121.pdf,/ ,,,,/Yes,,,,,,/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,2/9/2021,2:41,/ ,2020,Chevrolet,Bolt,CA,,1,/Yes,,,,,,,,,,/Yes,,/Yes,,/Yes,,,,,,"Todd J. Brugger, VP Global Markets",02/18/2021,,,Cruise_020921.pdf,/ ,/ ,Skateboarder,,/Yes,,/Yes,,,/Yes,/ ,,,,,,,/ ,/ ,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,02/25/2021,7:10,/ ,2020,Chevrolet,Bolt,CA,,2,,2015,Subaru,CA,/ ,2,CA,/ ,/ ,/ ,/Yes,/Yes,,,/Yes,/Yes,,/Yes,/Yes,,"Todd J. Brugger, VP Global Markets","March 5, 2021",,,Cruise_022521.pdf,/ ,,,/Yes,,,,,,,,,/Yes,,/Yes,/Yes,/Yes,/ ,,,,/Yes,/ ,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,3/9/2021,8:20,/ ,2020,Chevrolet,Bolt,,,1,/Yes,,,,,,,,/ ,,,,,,,,,,,,"Todd J. Brugger, VP Global Markets",03/18/2021,,,Cruise_030921.pdf,/ ,,,/Yes,,,,,,,,,,,,,,,/ ,,/Yes,,,,,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,3/12/2021,4:37,/ ,2020,Chevrolet,Bolt,CA,/ ,2,/Yes,2001,BMW 740,CA,/ ,2,CA,,/ ,/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,"Todd J. Brugger, VP Global Markets",03/18/2021,,/Yes,Cruise_031221.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,3/27/2021,4:27,/ ,2020,Chevrolet,Bolt,CA,,2,/Yes,,GMC Denali,TX,/ ,,,,/ ,/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,"Todd Brugger, VP Global Markets","April 5, 2021",,,Cruise_032721.pdf,/ ,,,,,,,,,,,,,,/Yes,,/Yes,,,,,,,,/Yes,,,,,,,/Yes,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,3/29/2021,4:58,/ ,2020,Chevrolet,Bolt,CA,,2,/Yes,,Honda Accord,,/ ,2,,,/ ,,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,/Yes,/Yes,/Yes,"Todd Brugger, VP Global Markets","April 5, 2021",/Yes,/Yes,Cruise_032921.pdf,/ ,,,,/Yes,,,,,,,,,,,,,,/ ,,,,,,,,,,,,/Yes,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,3/30/2021,9:23,,2020,Chevrolet,Bolt,CA,/ ,2,/Yes,2015,Ford Van,CA,/ ,2,CA,/ ,,,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,/Yes,/Yes,/Yes,"Todd Brugger, VP Global Markets","April 6, 2021",/Yes,/Yes,Cruise_033021.pdf,/ ,,,,,,,,,,/ ,,,,,,,/ ,/ ,,,,,,/Yes,,,,,,/Yes,,,,,/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
