MANufACTuRERS NAME,BuSINESS NAME,STATE.0,DATE Of ACCIDENT,Time of Accident,PM,VEhICLE YEAR,MAkE,MODEL,STATE VEhICLE IS REGISTERED IN,section 2  accident infoRmation.0,section 2  accident infoRmation.1.0,section 2  accident infoRmation.1.1.0,section 2  accident infoRmation.1.1.1.0,section 2  accident infoRmation.1.1.1.1,Stopped in Traffic,NuMBER Of VEhICLES INVOLVED,None,MODEL_2,Moving_2,NuMBER Of VEhICLES INVOLVED_2,ADDRESS_2.1.0.1,Conventional Mode,WEATHER A 1,WEATHER A 2,LIGHTING A 1,LIGHTING A 2,ROADWAY A 1,ROADWAY A 2,ROAD CONDITIONS D 1,ROAD CONDITIONS D 2,MOVEMENT A 1,MOVEMENT  I 2,TYPE B 1,TYPE B 2,PROGRAM DIRECTORAuThORIZED REPRESENTATIVE PRINTED NAME AND TITLE,DATE SIGNED,source_file,AM,minor,Left Front Corner 1,Left Front Corner 3,VEhICLE YEAR_2,STATE VEhICLE IS REGISTERED IN_2,STATE_2,ROAD CONDITIONS H 1,ROAD CONDITIONS H 2,MOVEMENT  G 2,TYPE A 1,TYPE C 2,Right Rear 1,Right Rear 3,LIGHTING C 1,LIGHTING C 2,TYPE C 1,Moving,Moderate,Front Bumper,Right Front Corner 3,WEATHER B 1,WEATHER B 2,MOVEMENT  B 1,MOVEMENT  D 2,TYPE D 2,Right Rear Passenger 2,Front Passenger Side 4,Autonomous Mode,MOVEMENT  D 1,TYPE E 1,Left Rear 1,Passenger,Rear Bumper,MOVEMENT A 2,Injured,Passenger_2,MOVEMENT  B 2,TYPE A 2,Bicyclist,Right Front Corner 2,MOVEMENT  M 2,Left Rear 2,Left Rear Passenger 1,MOVEMENT  E 2,Front Driver Side 3,WEATHER C 1,WEATHER C 2,ROADWAY B 1,ROADWAY B 2,MOVEMENT  L 2,TYPE D 1,undefined,Other,TYPE H 1,OTHER A NO,OTHER H NO,OTHER J,CITY_2.1.1.0,Injured_2,Driver,MOVEMENT  E 1,MOVEMENT  R 2,STATE_4.0,ZIP CODE_2.0,Left Front Corner 2,Right Front Corner 1,Right Rear Passenger 4,undefined_2,Other_2,OTHER A YES,Left Rear Passenger 3,Bicyclist_2,MOVEMENT  K 2,MOVEMENT  O 1,MOVEMENT  H 2,ROAD CONDITIONS E 2,ROAD CONDITIONS G 2,OTHER E,Proper ty_2,MOVEMENT J 1,DRIVERS fuLL NAME First Middle last_2,MOVEMENT  H 1,Right Rear 2,INSuRANCE COMPANY NAME OR SuRETY COMPANY AT TIME Of ACCIDENT_2,MOVEMENT  L 1,MOVEMENT  G 1,MOVEMENT  O 2,LIGHTING B 1,LIGHTING B 2,MOVEMENT  K 1,Front Passenger Side 2,Front Driver Side 1,MOVEMENT  N 2,Stopped in Traffic_2,MOVEMENT J 2,Bicyclist_3,OTHER C,TYPE H 2,WEATHER E 1,WEATHER E 2,major,OTHER K,MOVEMENT  Q 2,OTHER D
Apple Inc.,Apple Inc.,CA,11/11/2021,5:01,/ ,2016,Lexus,RX 450h,CA,North Fair Oaks Ave and Kifer Road,Sunnyvale,Santa Clara,CA,94086,/ ,2,/Yes,Plymouth Voyager,/ ,2,"A test vehicle, stopped at a red light in Sunnyvale while operating in manual mode, was lightly struck on a sensor attached to the rear driver side wheel by a white minivan attempting to maneuver around the vehicle to enter a left turn lane.  The test vehicle’s sensor was not damaged.  The minivan left the scene without stopping, so any damage to the minivan is unknown.  No injuries were reported, and law enforcement was not called to the scene.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,Joshua Goldstein / Head of R&D Operations,11/19/2021,Apple-OL316_111121_Redacted.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Inc.,Apple Inc.,CA,08/19/2021,9:30,,2016,Lexus,RX 450h,CA, 690 University Ave.,San Diego,San Diego,CA,92103,/ ,2,,Hyundai,/ ,2,"An Apple vehicle, operating in manual mode and leaving a parking space in a San Diego retail parking lot, was struck at low speed on the right front bumper by a Hyundai Sonata reversing from the middle of the parking lot.  To try and avoid the crash, the Apple vehicle stopped prior to being struck.  Both vehicles sustained minor damage.  At the time of the incident, no injuries were reported by either party and law enforcement was not called to the scene.  ",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,,Joshua Goldstein,08/29/2021,apple_081921.pdf,/ ,/Yes,/Yes,/Yes,2016,CA,CA,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Inc.,Apple Inc.,CA,08/23/2021,8:21,/ ,2016,Lexus,RX 450h,CA, Main Street Cupertino Parking Roadway Intersectio,Cupertino,Santa Clara,CA,95014,/ ,2,,Subaru Outback,/ ,2,"An Apple vehicle, operating in manual mode and stopped at a stop sign in the Main Street Cupertino retail center parking lot, was struck on the left rear bumper by a diagonally-parked Subaru reversing out of a parking space at low speed.  Both vehicles sustained minor damage.  At the time of the incident, no injuries were reported by either party and law enforcement was not called to the scene.",/ ,/Yes,/Yes,,,/Yes,/Yes,,,/Yes,,,,Joshua Goldstein,08/29/2021,apple_082321.pdf,,/Yes,,,2014,CA,CA,/Yes,/Yes,/Yes,,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Inc.,Apple Inc.,CA,12/06/2021,5:53,/ ,2016,Lexus,RX 450h,CA,El Camino Real & 604 El Camino Real Parking Exit,Sunnyvale,Santa Clara,CA,94087,,2,,Lexus RX 350,/ ,2,"A test vehicle operating in manual mode was traveling Southeast on El Camino Real in Sunnyvale, and had just crossed Fair Oaks Avenue when a white Lexus RX 350 vehicle pulled out of a parking lot without yielding to oncoming traffic.  The driver of the test vehicle braked but was unable to stop before making contact with the front driver’s side of the Lexus.  No injuries were reported and law enforcement was not called to the scene.",/ ,,,,,/Yes,/Yes,,,,,,,Joshua Goldstein / Head of R&D Operations,,Apple_120621.pdf,,,,/Yes,2015,CA,CA,/Yes,/Yes,,/Yes,,,,/Yes,/Yes,,/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Inc.,Apple Inc.,CA,09/27/2021,10:53,,2017,Lexus,RX 450h,CA,N Mathilda Ave and Del Rey Ave,Sunnyvale,Santa Clara,CA,94085,,1,,,,,"A test vehicle, operating in autonomous mode in Sunnyvale and turning right from Mathilda Avenue onto Del Ray Avenue, made contact with a curb at approximately 13 miles per hour. While there was no tire or wheel damage, the contact resulted in misalignment. No other agents were involved, no injuries were reported, and law enforcement was not called to the scene.",,,,/Yes,,/Yes,,,,,,,,Joshua Goldstein,10/07/2021,apple_OL316_092721_Redacted.pdf,/ ,/Yes,,,,,,/Yes,,,,,,/Yes,,,,/ ,,,,/Yes,,,,,/Yes,/Yes,/ ,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Argo AI, LLC",Argo AI,CA,07/01/2021,3:19,/ ,2019,Ford,Fusion,MI, El Camino/Page Mill RD,Palo Alto,Santa Clara,CA,94304,/ ,2,,Ford,/ ,2,"An Argo AI Autonomous Vehicle (“Argo AV”) traveling southbound in manual mode on El Camino Real was involved in a collision. As the Argo AV was attempting to make a right turn from El Camino Real onto Page Mill Road, a pedestrian entered the crosswalk. Argo’s Vehicle Operator brought the vehicle to a complete stop and the vehicle directly behind the Argo AV made contact with the Argo AV’s rear bumper. The Argo AV sustained minor damage to its rear bumper. The police were not called. The evening after the incident, minor injuries were reported by the Argo Vehicle Operator located in the right seat. ",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,,"Cynthia Kwon, VP Strategy and Business Development",07/09/2021,Argo-OL316_070121_Redacted.pdf,,/Yes,,,2014,CA,,/Yes,/Yes,,,/Yes,,,,,,,,,,,,,/Yes,,,,,/Yes,,/Yes,/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Argo AI, LLC",Argo AI,CA,10/19/2021,2:25,/ ,2020,Ford,Escape,MI,Grant Ave/El Camino Real,Palo Alto,Santa Clara,CA,94306,/ ,2,,Audi,/ ,2,"An Argo AI Autonomous Vehicle (“Argo AV”) was involved in a rear-end collision on Grant Ave. The Argo AV came to a complete stop at the stop sign located at the intersection of Grant Ave. and El Camino Real. After the Argo AV began to initiate a right-hand turn, the Argo AV came to a stop in response to oncoming traffic. A vehicle trailing behind the Argo AV moved forward and contacted the Argo AV’s left rear bumper. The Argo AV sustained minor damage to its left rear bumper.",,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,,,,Argo-OL316_101921_Redacted.pdf,,/Yes,,,2015,CA,CA,/Yes,/Yes,,,/Yes,,,,,,,,,,,,,/Yes,,,,/ ,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Argo AI, LLC",Argo AI,CA,07/08/2021,09:18,,2019,Ford,Fusion,MI,Stanford Ave/Bowdoin St,Palo Alto,Santa Clara,CA,94304,,2,,Honda CR-V,/ ,2,"An Argo AI Autonomous Vehicle (""Argo AV"") traveling northeast bound on Stanford Ave was involved in a collision. The Argo AV came to a complete stop at the stop sign located at the intersection of Stanford Ave and Bowdoin Ave. When the Argo AV began to accelerate the vehicle directly behind the Argo AV made contact with the Argo AV's rear bumper. The Argo AV sustained minor damage to its rear bumper. No injuries were reported at the scene and the police were not contacted.",,/Yes,/Yes,/Yes,/Yes,,,,,/Yes,,,,"Cynthia Kwon, VP Strategy and Business Development",7/14/2021,Argo_070821.pdf,/ ,/Yes,,,2013,CA,CA,/Yes,/Yes,,,/Yes,/Yes,,,,,/ ,,,,,,,,,,,/ ,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,05/11/2021,03:59,/ ,2020,Chevrolet,Bolt,CA,901 Castro St,San Francisco,San Francisco,CA,94114,/ ,2,,Colorado,/ ,2,"A Cruise autonomous vehicle (Cruise AV), operating in autonomous mode, was stopped at a stop sign at the four way intersection of Castro and 22nd Streets. A 2017 Chevy Colorado that was traveling behind the Cruise AV made contact with the rear bumper of the Cruise AV. This caused damage to the rear bumper of the Cruise AV. There were minor injuries but the police were not called.",,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,,"Todd J. Brugger, VP Global Markets","May 20, 2021",Cruise-OL316_051121_.pdf,,/Yes,,,2017,CA,CA,,,,,,,,,,/Yes,,,,,,,,,,,,/ ,,,/Yes,,/Yes,,/ ,/ ,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,07/01/2021,08:21,,2020,Chevrolet,Bolt,CA,400 Block of 6th St,San Francisco,San Francisco,CA,94103,/ ,1,,,,,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was stopped at a red light on northbound 6th Street at the intersection with Harrison Street when a lane-splitting cyclist made contact with the Cruise AV’s right side mirror, damaging the mirror. The cyclist did not stop. There were no injuries and police were not called.",,/Yes,,/Yes,,/Yes,,,,/Yes,,,/Yes,"Todd Brugger, VP Global Markets",07/14/2021,Cruise-OL316_070121_Redacted.pdf,/ ,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,/ ,,,,/ ,,,,,,,/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
